// 15 order diffuse coeff
0.886227,
-0,
1.02333,
-0,
0,
-0,
0.495416,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
-0,
0,
-0,
0,
-0.110778,
0,
-0,
0,
-0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0.0499271,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0.0285469,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0.0185081,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0.0129818,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0.00014102,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0,
0,
-0
